"�..Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X"
"Arab World","ARB","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","41.3803476751496","Not Available","42.0249495161887","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","162248754559.775","185202217686.722","213980384346.653","220700355117.373","172066526704.136","207757334598.643","290439730677.275","267752713834.967","278849656820.1","348554514117.86","463147048948.567","626123103524.743","763983134550.829","889508296657.982","1187924132611.6","832722475699.905","1024256587243.76","1359311775886.43","1536597856513.95","1521142625619.89","1439950421028.81","1050939362684.56","970650904573.183","Not Available","Not Available"
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","222.688851118821","238.909677072309","256.420887291094","289.545005993587","335.083670169026","414.097398681835","769.190157215038","826.003250352323","996.654547278431","1114.40034839758","1182.82729406718","1550.23598341465","2041.03141797068","2037.93523203399","1837.65992068596","1670.07037485168","1641.3812215465","1572.05082628029","1451.72375305673","1525.70405635939","1458.43330230142","1486.82597568435","1988.45873977156","1905.20915545181","2004.63397954487","1974.89059002878","1970.31573493549","2053.72142082472","2216.77512376145","2300.58684703676","2172.84800548214","2316.45929252945","2589.64845011183","2495.36631204247","2462.79144162461","2721.62805699583","3117.66080601244","3745.79092991719","4336.71858341177","4937.5982177301","6115.51778057895","5158.20851706515","5917.57430778759","6855.52728664347","7343.12131796659","7439.37940081515","7452.04048407423","6435.52550875833","6162.34727236922","Not Available","Not Available"
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","219997502337.746","234609099314.581","270065580375.85","346412336953.339","424323272381.679","503329587555.906","657063271710.587","849044701931.966","760658699730.049","855153217007.806","984415826185.3","1107721246824.91","1190374563887.2","1255519177673.74","1178729310130.93","1110357150163.16","Not Available","Not Available"
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.825064996761","47.4076991023794","47.9888783365182","48.5722294115442","49.1591674208195","49.7443378740763","50.3189999864141","50.8764612861687","51.4168697106976","51.9459457482557","52.4748194266862","53.0185649936988","53.5878270241579","54.1826238131044","54.797431640103","55.4221835559119","56.0450363029634","56.6563753712757","57.2554464644179","57.8514632690778","58.4562169369463","59.0821719571452","59.7335345794102","60.4044863062543","61.0805066991468","61.7399649070434","62.3615506124659","62.9307978780971","63.4397302116826","63.8893299394999","64.3226994663583","64.6903585209736","64.9841511295156","65.3450195372886","65.7100196318053","66.118141218678","66.4753491047707","66.8165535450604","67.1332679936668","67.4249911264263","67.6949397276557","67.9487321610337","68.1944834458595","68.4396355867532","68.6879445507359","68.9380580557627","69.1863650750761","69.424552198029","69.6469702814488","69.8514338976754","70.0410543466168","70.2238942443028","70.4080156937082","70.5982981596621","70.7939574698","70.9945414725089","71.198456370659","Not Available","Not Available"
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","45.9264","46.39663","46.94396","47.52019","48.16667","48.36862","49.19871","50.04015","51.05814","51.56526","52.53544","53.41984","54.36569","55.44517","56.34638","57.06204","57.8799","58.8336","60.35684","61.03267","62.21463","63.24747","64.12604","65.35204","66.50626","69.14341","70.10079","70.69717","68.56241","69.06261","70.00262","68.66351","69.63679","71.37224","72.48431","72.74568","73.32167","73.74158","74.15789","Not Available","Not Available"
"Caribbean small states","CSS","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","59.8823935107341","57.7508552997624","55.9684395022691","56.3790248909361","56.1619914656732","56.0628733609645","56.7030736650076","56.4849615794431","57.0713852892656","Not Available","Not Available"
"Caribbean small states","CSS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","892452510.526402","1039862768.31522","1068997420.89354","1143992331.96522","1222881843.47209","1277569441.73292","1217108162.98195","1285315872.25429","1276244630.66201","1385303224.84335","1449683626.87195","1608415540.15267","1792322143.45566","1973830258.069","3341375814.61881","3846217106.19098","3715913488.55019","4096349560.21545","4464525584.23707","5333396916.2935","7090898160.46989","7054613031.28096","6416927978.72532","6032485877.66088","6369025076.02162","6410272184.9214","6068810834.72083","6486766390.29346","7126408573.43154","7462746358.56877","8471818395.21735","8160926565.92025","8434400567.96255","8415537076.30408","9166012624.1355","10437494084.9184","10677465841.5514","11481814556.9139","11642056074.1918","12865461361.5514","15101064105.6381","14607340108.9267","14587989222.5637","16511692135.5806","19008022668.8124","23293829848.5658","30157597655.0964","30389238910.6686","35357549469.72","24378373227.1455","27397776706.8558","34906253818.3226","35593854245.5921","36599196762.6245","34345668551.639","29453778039.6734","Not Available","Not Available","Not Available"
"Caribbean small states","CSS","GDP per capita (current US$)","NY.GDP.PCAP.CD","477.522269866658","507.207452408712","525.385053994241","548.050304108711","582.041375960753","616.823594627507","659.195754943469","697.97126864499","685.1262030447","736.317201750747","800.164484454233","859.297833478146","982.74987789029","1060.75641322648","1362.8105027108","1576.40643279439","1599.75437536414","1839.84854714129","1856.72080506973","2103.92433180638","2551.63780289065","2782.08010901851","3068.54580509844","3060.00520618126","2850.07400692133","2775.31245602365","2460.83290802869","2618.99554523008","2759.20768057078","2781.30652163864","2970.03972768135","2910.69126276782","2840.65931035265","2953.08824660978","3091.98855356414","3358.56284917538","3632.24211236748","4025.64719767199","4387.58628692034","4629.85183433096","4939.24208601187","5044.22099772143","5276.34990997844","5622.08010200298","6131.13420967036","6899.82005614185","7700.56507038615","8519.86265970596","9658.23067086351","8053.49135495725","8726.32615363309","9417.75283628871","9986.79165910522","10013.4760721049","9967.3299357512","9648.39943979854","9206.76556218532","Not Available","Not Available"
"Caribbean small states","CSS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","4051474906.92754","4560304911.27435","5643736282.22154","7167898717.73026","7688372746.40016","8440544139.04721","8015086135.44402","7356590472.88588","6991983708.23405","6793045184.34317","7023660863.95473","7624891763.06112","8412329611.36414","8569293703.24895","8740443922.60426","8480204560.98357","8973888787.45639","9522788592.42898","11375180877.6681","12081494361.8672","14174592735.2075","14902590893.9233","14723005337.6273","16466003007.8732","16503743670.5352","16423299940.2205","17348235567.4398","19513573404.5483","23072389801.4696","26531495741.833","29240604354.1195","34811248521.4764","26152362001.2955","26647277616.6616","33817160393.1973","35877560886.0401","35615068469.7186","35356755314.057","33164566800.6424","Not Available","Not Available","Not Available"
