Country.Name,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X,Short.Name,Income.Group
Indonesia,IDN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,497382748.7,769173673.3,751533742.3,1175342466,1345889843,1816385542,3263373494,7482168675,6868915663,8264096386,10760963855,11251894893,15453888932,22088390908,23629067635,20176590283,22488286937,22403748087,19513318138,15601530600,18173373753,20564513854,24013309488,28192324954,31924916523,37629266178,42274397859,46896633114,53185312942,58717201042,60106038404,50555726235,49720260590,67621169166,62625875834,63956798805,71553141045,82744351781,97387627235,1.13143E+11,1.27226E+11,1.5209E+11,1.30358E+11,1.83481E+11,2.35095E+11,2.25744E+11,2.18308E+11,2.1082E+11,1.82167E+11,1.77884E+11,Not Available,Not Available,Indonesia,Lower middle income
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.98005693,69.23718789,79.40131553,84.8434192,84.27318295,96.72452802,139.4578302,215.5294056,248.1230768,296.1066251,355.1791972,389.4780269,379.90834,523.246753,603.0879338,621.2956915,546.0398033,559.2253062,550.3227734,505.5117832,470.7667531,512.8922707,564.2322037,622.8660132,672.5881106,725.9760689,881.3616821,971.1075966,1092.697237,1210.948122,1132.562479,493.9995683,714.5453308,830.5845879,796.3958746,957.7806429,1133.411259,1222.911783,1342.544156,1688.874304,1975.167375,2300.370675,2400.367644,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3336.106686,3570.294888,Not Available,Not Available,Indonesia,Lower middle income
Indonesia,IDN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,955991035.9,1102291012,1236196319,1449315068,1553301762,2078072289,3170120482,5526987952,6693975904,7764096386,9198072289,10727293589,12125156533,16076492698,21847220126,23709141552,23354265856,18156228497,17862288881,16401727045,17006296447,18491665719,21807734609,27645659824,31469555328,34649936943,37555937063,44869883142,55882279824,60116979038,60700151259,41249712042,38402067922,50264686470,49355195402,51638437161,54323622341,70744690514,85533800864,93411753739,1.09755E+11,1.46707E+11,1.15217E+11,1.69158E+11,2.12997E+11,2.29362E+11,2.25519E+11,2.17485E+11,1.78472E+11,1.70658E+11,Not Available,Not Available,Indonesia,Lower middle income
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.651,49.281,49.897,50.499,51.09,51.672,52.249,52.824,53.397,53.968,54.537,55.1,55.655,56.197,56.726,57.24,57.742,58.23,58.707,59.171,59.618,60.045,60.451,60.836,61.203,61.555,61.899,62.241,62.583,62.929,63.281,63.638,63.998,64.353,64.701,65.032,65.339,65.617,65.866,66.087,66.285,66.467,66.643,66.82,67.002,67.191,67.386,67.581,67.775,67.964,68.15,68.331,68.509,68.684,68.856,69.025,69.191,Not Available,Not Available,Indonesia,Lower middle income
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67.31266785,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.51985168,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90.38478851,Not Available,91.98226929,Not Available,92.19229889,92.58170319,Not Available,92.81191254,Not Available,Not Available,95.11621857,95.21793365,95.37696838,Not Available,Not Available,Indonesia,Lower middle income
"Iran, Islamic Rep.",IRN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.5,Not Available,Not Available,Not Available,Not Available,33.90000153,Not Available,Not Available,Not Available,Not Available,40.13999939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.75999832,Not Available,40.04000092,37.97000122,37.74000168,36.40000153,Not Available,Not Available,Not Available,36.34999847,37.13999939,37.84000015,Not Available,Not Available,Iran,Upper middle income
"Iran, Islamic Rep.",IRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,581541416.5,607915176.2,680443017.8,755608235,882202285.1,1000884206,1106379248,1306819827,1507260405,1756492441,2026823485,3172763373,3936283736,9056140484,21889677077,21091425211,25319975896,24821052416,18308804922,24176515151,12961626484,12431487008,21524982662,22725836919,18359078550,16006784598,7802605539,12271835670,8964962592,11841502482,16573631049,Not Available,Not Available,16197325831,20321213941,20900063457,24315730858,19682874298,13986840980,21963669399,23526115003,24491811634,31402849783,37814191933,48018138115,68684788609,79540915796,1.00918E+11,1.07922E+11,94038986374,1.18843E+11,1.49568E+11,1.44497E+11,1.2565E+11,1.00541E+11,76184687615,93867660645,Not Available,Not Available,Iran,Upper middle income
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,191.6808775,196.9246788,203.4363115,208.1308322,221.3191886,248.3386644,264.9767736,287.0791674,318.987576,350.9095745,384.9421794,468.961985,570.3695316,876.3092405,1453.77899,1581.892636,2017.184275,2315.382036,2168.155871,2426.454373,2440.305646,2498.887061,3007.133158,3582.651553,3568.505126,3805.943091,4244.98513,2617.511461,2318.538455,2199.757419,2219.842302,Not Available,Not Available,1080.561233,1202.868327,1591.716066,1955.146029,1816.586694,1725.756278,1749.827783,1657.169748,1890.991526,1892.036143,2231.342796,2729.838416,3215.653433,3738.689284,4857.368371,5574.410436,5619.117621,6531.92743,7729.343353,7832.902635,6036.192088,5540.984136,4862.299729,5219.109408,Not Available,Not Available,Iran,Upper middle income
"Iran, Islamic Rep.",IRN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,730164938.6,702251188.1,642016253.5,614102504.3,878548558.4,1021055599,1195883823,1485305337,1768850273,2050926065,2327125277,2928005479,3689022455,5594486011,11105780994,18318369218,19212061650,23448812229,17330359279,14516475276,27125991304,28082907606,26415543503,37834565739,26971526132,25746070825,21773514754,11695655291,17595820159,21819187476,29707835778,Not Available,Not Available,13150789257,9571397629,12985745384,18092098185,17511229164,18245137477,17752833900,21688407084,26939208541,30560192008,40000915039,49500478448,54596877012,62043181819,73628015383,87923600000,86903100000,94350200000,1.02453E+11,1.39199E+11,1.09607E+11,93253715078,74373116396,87190863041,Not Available,Not Available,Iran,Upper middle income
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.947,45.512,46.07,46.622,47.173,47.73,48.3,48.889,49.505,50.15,50.856,51.662,52.561,53.514,54.463,55.265,55.744,55.826,55.513,54.88,54.111,53.452,53.128,53.293,53.995,55.213,56.846,58.683,60.528,62.275,63.828,65.131,66.209,67.094,67.791,68.326,68.741,69.092,69.428,69.775,70.144,70.526,70.899,71.249,71.582,71.912,72.259,72.635,73.044,73.481,73.932,74.375,74.787,75.153,75.466,75.73,75.953,Not Available,Not Available,Iran,Upper middle income
